WeekStart,Period,ActualSales,TESForecast,ARIMAForecast,SARIMAForecast,XGBoostForecast
2019-07-08,Train,166616.38,,,,
2019-07-15,Train,193440.04,,,,
2019-07-22,Train,209756.74,,,,
2019-07-29,Train,223283.14,,,,
2019-08-05,Train,234146.67,,,,
2019-08-12,Train,261517.23,,,,
2019-08-19,Train,234016.17,,,,
2019-08-26,Train,206437.88,,,,
2019-09-02,Train,257676.07,,,,
2019-09-09,Train,249370.79,,,,
2019-09-16,Train,241013.55,,,,
2019-09-23,Train,239466.86,,,,
2019-09-30,Train,253516.88,,,,
2019-10-07,Train,255328.00,,,,
2019-10-14,Train,269331.48,,,,
2019-10-21,Train,339185.19,,,,
2019-10-28,Train,364699.47,,,,
2019-11-04,Train,399846.63,,,,
2019-11-11,Train,394506.47,,,,
2019-11-18,Train,376977.33,,,,
2019-11-25,Train,343815.13,,,,
2019-12-02,Train,298874.28,,,,
2019-12-09,Train,325588.86,,,,
2019-12-16,Train,272981.02,,,,
2019-12-23,Train,337956.69,,,,
2019-12-30,Train,351849.16,,,,
2020-01-06,Train,339980.30,,,,
2020-01-13,Train,397143.62,,,,
2020-01-20,Train,302478.33,,,,
2020-01-27,Train,347304.69,,,,
2020-02-03,Train,358818.49,,,,
2020-02-10,Train,325752.58,,,,
2020-02-17,Train,312064.66,,,,
2020-02-24,Test,357400.88,338630.61,335985.10,337551.11,331505.61
2020-03-02,Test,362019.46,343776.15,338509.15,330582.18,338701.85
2020-03-09,Test,313498.26,337115.02,339309.39,336565.29,342933.56
2020-03-16,Test,399363.94,350809.78,336245.81,323592.86,324914.87
2020-03-23,Test,420867.57,366222.49,358070.63,354047.85,365143.77
2020-03-30,Test,431348.31,380550.17,373937.31,369519.68,382053.15
2020-04-06,Test,404064.74,385723.38,391269.52,381011.68,394957.93
2020-04-13,Test,445140.14,398795.07,413911.14,410557.64,410068.18
2020-04-20,Test,413635.37,402059.93,425355.19,400779.82,417420.19
2020-04-27,Test,372270.89,395506.34,423547.14,408298.65,413742.31
2020-05-04,Test,502053.50,418946.72,408777.78,398785.93,395750.34
2020-05-11,Test,462503.51,428529.21,433274.97,411770.50,437654.01
2020-05-18,Test,480806.04,440030.11,437615.82,412505.59,430535.99
2020-05-25,Test,321002.03,413843.94,454408.48,435006.96,450515.19
2020-06-01,Test,21639.39,327558.94,441591.27,425676.91,407104.46
2020-06-08,Test,24055.33,260788.14,321487.74,319889.85,254722.16
