SalesOrderLine,SalesOrder,DateKey,CustomerKey,ProductKey,TerritoryKey,Channel,OrderQuantity,UnitPrice,SalesAmount,ProductCost,Profit,DiscountPct
SO43725 - 1,SO43725,20170704,13258,311,Germany|Germany|Europe,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43726 - 1,SO43726,20170704,14560,332,Southwest|United States|North America,Internet,1,699.10,699.10,413.15,285.95,0.0000
SO43727 - 1,SO43727,20170704,16607,311,Australia|Australia|Pacific,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43728 - 1,SO43728,20170705,27666,313,Southwest|United States|North America,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43729 - 1,SO43729,20170705,11238,346,United Kingdom|United Kingdom|Europe,Internet,1,3399.99,3399.99,1912.15,1487.84,0.0000
SO43730 - 1,SO43730,20170705,25861,346,Southwest|United States|North America,Internet,1,3399.99,3399.99,1912.15,1487.84,0.0000
SO43731 - 1,SO43731,20170705,16629,314,Australia|Australia|Pacific,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43732 - 1,SO43732,20170705,11025,350,Australia|Australia|Pacific,Internet,1,3374.99,3374.99,1898.09,1476.90,0.0000
SO43733 - 1,SO43733,20170705,27577,312,Northwest|United States|North America,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43734 - 1,SO43734,20170705,27604,312,Northwest|United States|North America,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43735 - 1,SO43735,20170705,16522,310,Australia|Australia|Pacific,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43736 - 1,SO43736,20170705,11002,346,Australia|Australia|Pacific,Internet,1,3399.99,3399.99,1912.15,1487.84,0.0000
SO43737 - 1,SO43737,20170706,13261,311,Germany|Germany|Europe,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43738 - 1,SO43738,20170706,11606,312,France|France|Europe,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43739 - 1,SO43739,20170706,13563,310,United Kingdom|United Kingdom|Europe,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43740 - 1,SO43740,20170706,16527,312,Australia|Australia|Pacific,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43741 - 1,SO43741,20170706,27671,310,Northwest|United States|North America,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43742 - 1,SO43742,20170706,13576,314,United Kingdom|United Kingdom|Europe,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43743 - 1,SO43743,20170706,11007,347,Australia|Australia|Pacific,Internet,1,3399.99,3399.99,1912.15,1487.84,0.0000
SO43744 - 1,SO43744,20170706,16631,313,Australia|Australia|Pacific,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43745 - 1,SO43745,20170707,16514,311,Australia|Australia|Pacific,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43746 - 1,SO43746,20170707,16616,312,Australia|Australia|Pacific,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43747 - 1,SO43747,20170707,27623,314,Southwest|United States|North America,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43748 - 1,SO43748,20170707,27625,313,Northwest|United States|North America,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43749 - 1,SO43749,20170707,27636,314,Northwest|United States|North America,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43750 - 1,SO43750,20170707,11591,311,France|France|Europe,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43751 - 1,SO43751,20170707,11592,313,France|France|Europe,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43752 - 1,SO43752,20170707,13265,311,Germany|Germany|Europe,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43753 - 1,SO43753,20170707,16482,310,Australia|Australia|Pacific,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43754 - 1,SO43754,20170708,27617,312,Northwest|United States|North America,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43755 - 1,SO43755,20170708,27670,311,Southwest|United States|North America,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43756 - 1,SO43756,20170708,19941,332,United Kingdom|United Kingdom|Europe,Internet,1,699.10,699.10,413.15,285.95,0.0000
SO43757 - 1,SO43757,20170708,11017,350,Australia|Australia|Pacific,Internet,1,3374.99,3374.99,1898.09,1476.90,0.0000
SO43758 - 1,SO43758,20170708,27646,310,Southwest|United States|North America,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43759 - 1,SO43759,20170708,13257,310,Germany|Germany|Europe,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43760 - 1,SO43760,20170708,16352,314,Australia|Australia|Pacific,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43761 - 1,SO43761,20170708,16493,310,Australia|Australia|Pacific,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43762 - 1,SO43762,20170709,27578,314,Southwest|United States|North America,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43763 - 1,SO43763,20170709,16525,313,Australia|Australia|Pacific,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43764 - 1,SO43764,20170709,16612,310,Australia|Australia|Pacific,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43765 - 1,SO43765,20170709,11010,346,Australia|Australia|Pacific,Internet,1,3399.99,3399.99,1912.15,1487.84,0.0000
SO43766 - 1,SO43766,20170709,16518,313,Australia|Australia|Pacific,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43767 - 1,SO43767,20170709,11001,350,Australia|Australia|Pacific,Internet,1,3374.99,3374.99,1898.09,1476.90,0.0000
SO43768 - 1,SO43768,20170710,27649,312,Northwest|United States|North America,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43769 - 1,SO43769,20170710,21659,312,Canada|Canada|North America,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43770 - 1,SO43770,20170710,27614,312,Northwest|United States|North America,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43771 - 1,SO43771,20170710,14559,330,Southwest|United States|North America,Internet,1,699.10,699.10,413.15,285.95,0.0000
SO43772 - 1,SO43772,20170710,16524,312,Australia|Australia|Pacific,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43773 - 1,SO43773,20170710,16526,314,Australia|Australia|Pacific,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43774 - 1,SO43774,20170710,16348,313,Australia|Australia|Pacific,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43775 - 1,SO43775,20170710,11027,347,Australia|Australia|Pacific,Internet,1,3399.99,3399.99,1912.15,1487.84,0.0000
SO43776 - 1,SO43776,20170710,13260,314,Germany|Germany|Europe,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43777 - 1,SO43777,20170710,16515,311,Australia|Australia|Pacific,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43778 - 1,SO43778,20170710,11018,345,Australia|Australia|Pacific,Internet,1,3399.99,3399.99,1912.15,1487.84,0.0000
SO43779 - 1,SO43779,20170710,25252,326,Australia|Australia|Pacific,Internet,1,699.10,699.10,413.15,285.95,0.0000
SO43780 - 1,SO43780,20170711,11599,311,France|France|Europe,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43781 - 1,SO43781,20170711,16495,312,Australia|Australia|Pacific,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43782 - 1,SO43782,20170711,16516,312,Australia|Australia|Pacific,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43783 - 1,SO43783,20170711,16620,312,Australia|Australia|Pacific,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43784 - 1,SO43784,20170712,27667,310,Southwest|United States|North America,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43785 - 1,SO43785,20170712,11601,311,France|France|Europe,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43786 - 1,SO43786,20170712,11607,311,France|France|Europe,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43787 - 1,SO43787,20170712,29385,344,Germany|Germany|Europe,Internet,1,3399.99,3399.99,1912.15,1487.84,0.0000
SO43788 - 1,SO43788,20170712,11239,351,United Kingdom|United Kingdom|Europe,Internet,1,3374.99,3374.99,1898.09,1476.90,0.0000
SO43789 - 1,SO43789,20170712,25865,351,Northwest|United States|North America,Internet,1,3374.99,3374.99,1898.09,1476.90,0.0000
SO43790 - 1,SO43790,20170712,25857,344,Northwest|United States|North America,Internet,1,3399.99,3399.99,1912.15,1487.84,0.0000
SO43791 - 1,SO43791,20170712,16484,314,Australia|Australia|Pacific,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43792 - 1,SO43792,20170712,16623,312,Australia|Australia|Pacific,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43793 - 1,SO43793,20170712,11000,344,Australia|Australia|Pacific,Internet,1,3399.99,3399.99,1912.15,1487.84,0.0000
SO43794 - 1,SO43794,20170712,11029,347,Australia|Australia|Pacific,Internet,1,3399.99,3399.99,1912.15,1487.84,0.0000
SO43795 - 1,SO43795,20170713,27615,312,Southwest|United States|North America,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43796 - 1,SO43796,20170713,17956,342,France|France|Europe,Internet,1,699.10,699.10,413.15,285.95,0.0000
SO43797 - 1,SO43797,20170713,16345,312,Australia|Australia|Pacific,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43798 - 1,SO43798,20170713,16521,310,Australia|Australia|Pacific,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43799 - 1,SO43799,20170713,16636,312,Australia|Australia|Pacific,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43800 - 1,SO43800,20170713,21710,311,Canada|Canada|North America,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43801 - 1,SO43801,20170713,13583,311,United Kingdom|United Kingdom|Europe,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43802 - 1,SO43802,20170713,11593,312,France|France|Europe,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43803 - 1,SO43803,20170714,21741,314,Canada|Canada|North America,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43804 - 1,SO43804,20170714,13585,310,United Kingdom|United Kingdom|Europe,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43805 - 1,SO43805,20170714,14510,328,Northwest|United States|North America,Internet,1,699.10,699.10,413.15,285.95,0.0000
SO43806 - 1,SO43806,20170714,16523,312,Australia|Australia|Pacific,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43807 - 1,SO43807,20170714,11611,312,France|France|Europe,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43808 - 1,SO43808,20170714,13259,313,Germany|Germany|Europe,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43809 - 1,SO43809,20170714,16350,310,Australia|Australia|Pacific,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43810 - 1,SO43810,20170714,11004,345,Australia|Australia|Pacific,Internet,1,3399.99,3399.99,1912.15,1487.84,0.0000
SO43811 - 1,SO43811,20170714,11026,346,Australia|Australia|Pacific,Internet,1,3399.99,3399.99,1912.15,1487.84,0.0000
SO43812 - 1,SO43812,20170715,27662,312,Southwest|United States|North America,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43813 - 1,SO43813,20170715,28390,350,France|France|Europe,Internet,1,3374.99,3374.99,1898.09,1476.90,0.0000
SO43814 - 1,SO43814,20170715,25866,350,Northwest|United States|North America,Internet,1,3374.99,3374.99,1898.09,1476.90,0.0000
SO43815 - 1,SO43815,20170715,16494,311,Australia|Australia|Pacific,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43816 - 1,SO43816,20170715,16496,314,Australia|Australia|Pacific,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43817 - 1,SO43817,20170715,16519,310,Australia|Australia|Pacific,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43818 - 1,SO43818,20170715,16528,312,Australia|Australia|Pacific,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43819 - 1,SO43819,20170715,11006,346,Australia|Australia|Pacific,Internet,1,3399.99,3399.99,1912.15,1487.84,0.0000
SO43820 - 1,SO43820,20170715,27651,312,Southwest|United States|North America,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43821 - 1,SO43821,20170715,27663,310,Southwest|United States|North America,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43822 - 1,SO43822,20170715,27669,313,Southwest|United States|North America,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43823 - 1,SO43823,20170715,19942,342,United Kingdom|United Kingdom|Europe,Internet,1,699.10,699.10,413.15,285.95,0.0000
SO43824 - 1,SO43824,20170715,14558,338,Northwest|United States|North America,Internet,1,699.10,699.10,413.15,285.95,0.0000
SO43825 - 1,SO43825,20170715,16349,313,Australia|Australia|Pacific,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43826 - 1,SO43826,20170715,11008,348,Australia|Australia|Pacific,Internet,1,3374.99,3374.99,1898.09,1476.90,0.0000
SO43827 - 1,SO43827,20170715,25250,338,Australia|Australia|Pacific,Internet,1,699.10,699.10,413.15,285.95,0.0000
SO43828 - 1,SO43828,20170716,27605,310,Northwest|United States|North America,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43829 - 1,SO43829,20170716,27611,310,Southwest|United States|North America,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43830 - 1,SO43830,20170716,16347,311,Australia|Australia|Pacific,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43831 - 1,SO43831,20170716,11028,349,Australia|Australia|Pacific,Internet,1,3374.99,3374.99,1898.09,1476.90,0.0000
SO43832 - 1,SO43832,20170716,13584,310,United Kingdom|United Kingdom|Europe,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43833 - 1,SO43833,20170716,21727,310,Canada|Canada|North America,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43834 - 1,SO43834,20170716,28393,348,France|France|Europe,Internet,1,3374.99,3374.99,1898.09,1476.90,0.0000
SO43835 - 1,SO43835,20170716,19802,348,Canada|Canada|North America,Internet,1,3374.99,3374.99,1898.09,1476.90,0.0000
SO43836 - 1,SO43836,20170716,26620,324,Canada|Canada|North America,Internet,1,699.10,699.10,413.15,285.95,0.0000
SO43837 - 1,SO43837,20170716,11009,350,Australia|Australia|Pacific,Internet,1,3374.99,3374.99,1898.09,1476.90,0.0000
SO43838 - 1,SO43838,20170717,27641,313,Southwest|United States|North America,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43839 - 1,SO43839,20170717,27673,311,Northwest|United States|North America,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43840 - 1,SO43840,20170717,17957,326,France|France|Europe,Internet,1,699.10,699.10,413.15,285.95,0.0000
SO43841 - 1,SO43841,20170717,13406,314,Germany|Germany|Europe,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43842 - 1,SO43842,20170717,16630,312,Australia|Australia|Pacific,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43918 - 1,SO43918,20170717,22041,313,Canada|Canada|North America,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43919 - 1,SO43919,20170717,12124,314,France|France|Europe,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43920 - 1,SO43920,20170717,28066,313,Southwest|United States|North America,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43921 - 1,SO43921,20170717,16743,313,Australia|Australia|Pacific,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43922 - 1,SO43922,20170717,13546,310,Germany|Germany|Europe,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43923 - 1,SO43923,20170718,28018,312,Southwest|United States|North America,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43924 - 1,SO43924,20170718,12132,310,France|France|Europe,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43925 - 1,SO43925,20170718,16661,314,Australia|Australia|Pacific,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43926 - 1,SO43926,20170718,11055,351,Australia|Australia|Pacific,Internet,1,3374.99,3374.99,1898.09,1476.90,0.0000
SO43927 - 1,SO43927,20170718,16662,314,Australia|Australia|Pacific,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43928 - 1,SO43928,20170718,16740,313,Australia|Australia|Pacific,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43929 - 1,SO43929,20170718,25270,322,Australia|Australia|Pacific,Internet,1,699.10,699.10,413.15,285.95,0.0000
SO43930 - 1,SO43930,20170719,28038,312,Southwest|United States|North America,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43931 - 1,SO43931,20170719,13548,313,Germany|Germany|Europe,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43932 - 1,SO43932,20170719,16741,314,Australia|Australia|Pacific,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43933 - 1,SO43933,20170719,11031,347,Australia|Australia|Pacific,Internet,1,3399.99,3399.99,1912.15,1487.84,0.0000
SO43934 - 1,SO43934,20170719,11034,346,Australia|Australia|Pacific,Internet,1,3399.99,3399.99,1912.15,1487.84,0.0000
SO43935 - 1,SO43935,20170719,20048,334,United Kingdom|United Kingdom|Europe,Internet,1,699.10,699.10,413.15,285.95,0.0000
SO43936 - 1,SO43936,20170719,28065,311,Southwest|United States|North America,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43937 - 1,SO43937,20170719,17047,312,Australia|Australia|Pacific,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43938 - 1,SO43938,20170719,16686,310,Australia|Australia|Pacific,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43939 - 1,SO43939,20170719,16659,312,Australia|Australia|Pacific,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43940 - 1,SO43940,20170719,25294,336,Australia|Australia|Pacific,Internet,1,699.10,699.10,413.15,285.95,0.0000
SO43941 - 1,SO43941,20170720,13600,314,United Kingdom|United Kingdom|Europe,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43942 - 1,SO43942,20170720,17051,310,Australia|Australia|Pacific,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43943 - 1,SO43943,20170720,14565,338,Southwest|United States|North America,Internet,1,699.10,699.10,413.15,285.95,0.0000
SO43944 - 1,SO43944,20170720,11054,344,Australia|Australia|Pacific,Internet,1,3399.99,3399.99,1912.15,1487.84,0.0000
SO43945 - 1,SO43945,20170720,16675,310,Australia|Australia|Pacific,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43946 - 1,SO43946,20170720,16687,313,Australia|Australia|Pacific,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43947 - 1,SO43947,20170720,16712,310,Australia|Australia|Pacific,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43948 - 1,SO43948,20170720,11047,345,Australia|Australia|Pacific,Internet,1,3399.99,3399.99,1912.15,1487.84,0.0000
SO43949 - 1,SO43949,20170720,27726,310,Southwest|United States|North America,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43950 - 1,SO43950,20170720,28014,311,Southwest|United States|North America,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43951 - 1,SO43951,20170720,16696,311,Australia|Australia|Pacific,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43952 - 1,SO43952,20170720,16639,312,Australia|Australia|Pacific,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43953 - 1,SO43953,20170721,20049,342,United Kingdom|United Kingdom|Europe,Internet,1,699.10,699.10,413.15,285.95,0.0000
SO43954 - 1,SO43954,20170721,13602,311,United Kingdom|United Kingdom|Europe,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43955 - 1,SO43955,20170721,13661,314,United Kingdom|United Kingdom|Europe,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43956 - 1,SO43956,20170721,11030,344,Australia|Australia|Pacific,Internet,1,3399.99,3399.99,1912.15,1487.84,0.0000
SO43957 - 1,SO43957,20170721,28068,313,Southwest|United States|North America,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43958 - 1,SO43958,20170721,16658,312,Australia|Australia|Pacific,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43959 - 1,SO43959,20170721,11035,348,Australia|Australia|Pacific,Internet,1,3374.99,3374.99,1898.09,1476.90,0.0000
SO43960 - 1,SO43960,20170721,11046,349,Australia|Australia|Pacific,Internet,1,3374.99,3374.99,1898.09,1476.90,0.0000
SO43961 - 1,SO43961,20170722,28031,311,Southwest|United States|North America,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43962 - 1,SO43962,20170722,28076,312,Southwest|United States|North America,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43963 - 1,SO43963,20170722,16685,314,Australia|Australia|Pacific,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43964 - 1,SO43964,20170722,16745,312,Australia|Australia|Pacific,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43965 - 1,SO43965,20170722,11038,351,Australia|Australia|Pacific,Internet,1,3374.99,3374.99,1898.09,1476.90,0.0000
SO43966 - 1,SO43966,20170722,11039,347,Australia|Australia|Pacific,Internet,1,3399.99,3399.99,1912.15,1487.84,0.0000
SO43967 - 1,SO43967,20170722,28040,313,Northwest|United States|North America,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43968 - 1,SO43968,20170722,28067,313,Southwest|United States|North America,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43969 - 1,SO43969,20170722,28071,310,Southwest|United States|North America,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43970 - 1,SO43970,20170722,16684,311,Australia|Australia|Pacific,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43971 - 1,SO43971,20170722,16657,314,Australia|Australia|Pacific,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43972 - 1,SO43972,20170723,21939,314,Canada|Canada|North America,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43973 - 1,SO43973,20170723,28039,312,Southwest|United States|North America,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43974 - 1,SO43974,20170723,13687,312,United Kingdom|United Kingdom|Europe,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43975 - 1,SO43975,20170723,13540,312,Germany|Germany|Europe,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43976 - 1,SO43976,20170723,28063,310,Southwest|United States|North America,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43977 - 1,SO43977,20170723,16703,312,Australia|Australia|Pacific,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43978 - 1,SO43978,20170723,28030,310,Northwest|United States|North America,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43979 - 1,SO43979,20170723,14576,322,Northwest|United States|North America,Internet,1,699.10,699.10,413.15,285.95,0.0000
SO43980 - 1,SO43980,20170723,11048,351,Australia|Australia|Pacific,Internet,1,3374.99,3374.99,1898.09,1476.90,0.0000
